,time,value
1047,08:52:17.882000,64
1048,08:52:17.882000,52
1049,08:52:17.882000,44
1050,08:52:17.881000,28
1051,08:52:17.881000,76
1052,08:52:17.918000,33
1053,08:52:17.919000,28
1054,08:52:17.919000,43
1055,08:52:17.919000,52
1056,08:52:17.919000,57
1057,08:52:17.919000,66
1058,08:52:17.920000,57
1059,08:52:17.919000,38
1060,08:52:17.919000,33
1061,08:52:17.919000,32
1062,08:52:17.918000,32
1063,08:52:17.925000,39
1064,08:52:17.925000,44
1065,08:52:17.926000,44
1066,08:52:17.926000,60
1067,08:52:17.919000,66
1068,08:52:17.925000,40
1069,08:52:17.926000,59
1070,08:52:17.926000,53
1071,08:52:17.920000,45
1072,08:52:17.925000,39
1073,08:52:17.926000,73
1074,08:52:17.926000,77
1075,08:52:17.926000,82
1076,08:52:17.925000,42
1077,08:52:17.925000,40
1078,08:52:17.956000,90
1079,08:52:17.956000,77
1080,08:52:17.956000,70
1081,08:52:17.956000,60
1082,08:52:17.957000,80
1083,08:52:17.957000,52
1084,08:52:17.956000,83
1085,08:52:17.957000,66
1086,08:52:17.957000,73
1087,08:52:17.957000,65
1088,08:52:17.957000,51
1089,08:52:17.957000,44
1090,08:52:18.011000,22
1091,08:52:18.011000,25
1092,08:52:18.011000,36
1093,08:52:18.011000,42
1094,08:52:18.011000,39
1095,08:52:18.012000,27
1096,08:52:18.012000,19
1097,08:52:18.012000,25
